id,title,link,district,type,name,value,function,location
9020051012,Manteuffelstraße  79,https://www.infravelo.de/projekt/manteuffelstrasse-79-1/,Friedrichshain-Kreuzberg,Anlehnbügel,Anzahl Stellplätze,142,parking,POINT (52.4977327 13.426536416017182)
9040080005,Marchstraße 23,https://www.infravelo.de/projekt/marchstrasse-23/,Charlottenburg-Wilmersdorf,Anlehnbügel,Anzahl Stellplätze,12,parking,POINT (52.516628999999995 13.323535677730362)
9100053009,Marchwitzastraße 47/ 49,https://www.infravelo.de/projekt/marchwitzastrasse-47-49/,Marzahn-Hellersdorf,Anlehnbügel,Anzahl Stellplätze,8,parking,POINT (52.5246482 13.5445662)
9020104009,Marheinekeplatz ggü 13,https://www.infravelo.de/projekt/marheinekeplatz-ggue-13/,Friedrichshain-Kreuzberg,Anlehnbügel,Anzahl Stellplätze,24,parking,
9020051003,Mariannenstraße 28,https://www.infravelo.de/projekt/mariannenstrasse-28/,Friedrichshain-Kreuzberg,Anlehnbügel,Anzahl Stellplätze,72,parking,POINT (52.49684335 13.42065657895796)
9020086126,Mariannenstraße ggü. 26A,https://www.infravelo.de/projekt/mariannenstrasse-ggue-26a/,Friedrichshain-Kreuzberg,Anlehnbügel,Anzahl Stellplätze,16,parking,
9080031563,Mariendorfer Weg 69,https://www.infravelo.de/projekt/mariendorfer-weg-69/,Neukölln,Anlehnbügel,Anzahl Stellplätze,96,parking,POINT (52.4641411 13.4301984)
9080031564,Marienfelder Chaussee 142,https://www.infravelo.de/projekt/marienfelder-chaussee-142/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking,POINT (52.41619115 13.406424900412471)
9080031566,Marienfelder Chaussee 149-145,https://www.infravelo.de/projekt/marienfelder-chaussee-149-145/,Neukölln,Anlehnbügel,Anzahl Stellplätze,6,parking,POINT (52.4206217 13.4271048)
9080031565,Marienfelder Chaussee 66,https://www.infravelo.de/projekt/marienfelder-chaussee-66/,Neukölln,Anlehnbügel,Anzahl Stellplätze,4,parking,POINT (52.4182763 13.415952)
9100031002,Mark-Twain-Straße  27,https://www.infravelo.de/projekt/mark-twain-strasse-27/,Marzahn-Hellersdorf,Anlehnbügel,Anzahl Stellplätze,34,parking,POINT (52.5359849 13.610723066481336)
9060092050,Markelstraße / Paulsenstraße 31-32,https://www.infravelo.de/projekt/markelstrasse-paulsenstrasse-31-32/,Steglitz-Zehlendorf,Anlehnbügel,Anzahl Stellplätze,14,parking,
9060092017,Markelstraße Wendehammer 32,https://www.infravelo.de/projekt/markelstrasse-32/,Steglitz-Zehlendorf,Anlehnbügel,Anzahl Stellplätze,6,parking,
9060092036,Markelstraße Wendehammer 32,https://www.infravelo.de/projekt/markelstrasse-32-1/,Steglitz-Zehlendorf,Anlehnbügel,Anzahl Stellplätze,12,parking,
9060092052,Martin-Buber-Straße / Kirchstraße ,https://www.infravelo.de/projekt/martin-buber-strasse-kirchstrasse/,Steglitz-Zehlendorf,Anlehnbügel,Anzahl Stellplätze,10,parking,
9100031008,Marzahner Promenade 55,https://www.infravelo.de/projekt/marzahner-promenade-55/,Marzahn-Hellersdorf,Anlehnbügel,Anzahl Stellplätze,4,parking,POINT (52.5469939 13.5569336)
