highway,lanes,lit,maxspeed,streetname,oneway,ref,smoothness,geometry
tertiary,2.0,no,70,,,K 6427,good,"LINESTRING (13.7549766 52.5779586, 13.7551777 52.5779951, 13.7553152 52.5780195)"
tertiary,2.0,,,,,K 6169,good,"LINESTRING (13.4475269 52.3473132, 13.4471475 52.347215)"
tertiary,3.0,,,,,K 7238,good,"LINESTRING (13.4456065 52.3468774, 13.446272 52.3470098)"
residential,,,,,,,,"LINESTRING (13.128431 52.6759072, 13.1285229 52.6755719)"
residential,,,30,,,,,"LINESTRING (13.645225 52.664641, 13.6464491 52.6641151, 13.6473947 52.6637151)"
residential,,yes,30,,yes,,,"LINESTRING (13.3565545 52.478281, 13.3565646 52.4783531, 13.356564 52.4783999, 13.356555 52.4784538)"
tertiary,2.0,,80,,,K 7241,,"LINESTRING (13.3034641 52.3463632, 13.3028467 52.3457977, 13.3026381 52.3455736, 13.3024931 52.3453571, 13.3023828 52.3451207, 13.302283 52.3448485, 13.3021628 52.3445079, 13.3018851 52.3437204, 13.301541 52.3427427, 13.3008542 52.3407843, 13.3003966 52.3394764, 13.3002318 52.3389568, 13.3002094 52.3388459, 13.3002034 52.3387189, 13.3002026 52.3385181, 13.3001989 52.3378525, 13.3002126 52.336747, 13.3002216 52.3343065, 13.300238 52.3331725, 13.3002637 52.3315553, 13.3002804 52.3295622, 13.3002505 52.3292828, 13.3001918 52.3287353, 13.3000638 52.3280167, 13.3000893 52.3276604, 13.3001032 52.3274655, 13.3002804 52.3267961, 13.3005757 52.3262843, 13.3012057 52.3255165, 13.3034091 52.3233718)"
residential,,,30,,,,,"LINESTRING (13.126379 52.6148415, 13.1276635 52.6157266, 13.1276537 52.6158018, 13.1276261 52.615851)"
residential,,,,,,,,"LINESTRING (13.3759296 52.6735925, 13.376061 52.6735982, 13.3767832 52.673656, 13.376922 52.6736734, 13.3769884 52.6736909, 13.3770434 52.673717, 13.3770615 52.6737499, 13.3770575 52.6738597)"
tertiary,,,50,,,,excellent,"LINESTRING (13.5506452 52.3696669, 13.5505532 52.3696335)"
tertiary,,yes,50,,,,excellent,"LINESTRING (13.5513149 52.3693405, 13.5513245 52.3693936, 13.5513182 52.3694469, 13.5512961 52.3694987, 13.5512532 52.3695532, 13.5511928 52.3696011, 13.5511177 52.3696405, 13.5510309 52.3696697, 13.5509362 52.3696874, 13.5508376 52.3696929, 13.5507392 52.369686, 13.5506452 52.3696669)"
tertiary,,yes,50,,,,excellent,"LINESTRING (13.5505532 52.3696335, 13.550478 52.3695902, 13.5504196 52.3695382, 13.5503808 52.3694798, 13.5503632 52.3694177, 13.5503678 52.3693547, 13.5503943 52.3692938)"
tertiary,,yes,50,,,,excellent,"LINESTRING (13.5503943 52.3692938, 13.5504432 52.3692361, 13.5505116 52.3691864, 13.5505962 52.3691471, 13.5506928 52.3691201, 13.5507968 52.3691068, 13.5509031 52.3691077, 13.5510065 52.3691228, 13.5511019 52.3691514)"
residential,2.0,,,,,,,"LINESTRING (13.3625541 52.5345846, 13.3636201 52.5349727, 13.3637162 52.5350075)"
tertiary,,yes,50,,,,good,"LINESTRING (13.319034 52.5193259, 13.3195255 52.5195693)"
residential,,,,,,,,"LINESTRING (13.3754459 52.6746644, 13.3746891 52.6746436, 13.3748131 52.674329, 13.3755907 52.6743312)"
residential,,yes,30,,yes,,excellent,"LINESTRING (13.523289 52.463071, 13.5233791 52.4631371)"
residential,,no,30,,,,,"LINESTRING (13.5236008 52.4629545, 13.5236607 52.4630664)"
residential,,,30,,,,good,"LINESTRING (13.6407063 52.6606775, 13.6407784 52.6607175, 13.6409872 52.6608333, 13.6418689 52.6614135, 13.6418919 52.6614455)"
tertiary,,yes,,,,,,"LINESTRING (13.2099241 52.3933321, 13.2099775 52.3933217, 13.2100335 52.3933197, 13.2100886 52.3933261)"
residential,,,30,,,,,"LINESTRING (13.6470337 52.663345, 13.6472304 52.663294, 13.6478383 52.663048, 13.6481263 52.6629235)"
residential,,yes,,,,,,"LINESTRING (13.136343 52.3700395, 13.1364843 52.369958)"
residential,1.0,,30,,,,good,"LINESTRING (13.5820623 52.3588665, 13.5821433 52.3588243, 13.5822839 52.3587794, 13.5823122 52.3587414, 13.5820989 52.3582762, 13.5820232 52.358257, 13.5817318 52.3583008)"
residential,,,30,,,,,"LINESTRING (13.3004254 52.567284, 13.3003082 52.5674134)"
tertiary,2.0,no,70,,no,K 6169,good,"LINESTRING (13.4619995 52.3515573, 13.461814 52.351529, 13.461571 52.351473, 13.4612732 52.3513892, 13.4608393 52.3512367, 13.4602704 52.3510336, 13.4600146 52.3509507, 13.4596849 52.3508634, 13.4594339 52.3508008, 13.4586603 52.3506095, 13.4577137 52.3503726, 13.4575028 52.3503203)"
residential,,,,,,,,"LINESTRING (13.6488246 52.5551449, 13.6487678 52.5553648, 13.6484922 52.5561173, 13.6483317 52.5565556, 13.6482799 52.556697, 13.6482739 52.5567133, 13.6481953 52.5567454, 13.6481167 52.5567776)"
tertiary,,no,70,,,K 6902,good,"LINESTRING (13.1894206 52.3597036, 13.1894375 52.3596191, 13.1894219 52.3595095, 13.1891397 52.3583321, 13.1891326 52.3582414, 13.189122 52.3577442, 13.189214 52.3556475, 13.1892954 52.3551979, 13.1895573 52.3549083, 13.1928705 52.3520464, 13.1939336 52.3511004, 13.1941653 52.3508658, 13.1960871 52.3480532, 13.1968903 52.3468036, 13.1976122 52.3454252)"
residential,,,,,,,,"LINESTRING (13.6936556 52.4343911, 13.6936554 52.4343327, 13.6936288 52.4342847, 13.6935758 52.4342449, 13.6935171 52.4342122)"
residential,,yes,30,,,,good,"LINESTRING (13.5259718 52.6325322, 13.5261243 52.6325309, 13.5262934 52.6325296)"
tertiary,2.0,no,70,,,,excellent,"LINESTRING (13.5458963 52.3776146, 13.5455529 52.3776224, 13.545198 52.3776327, 13.5447661 52.3776808, 13.5445241 52.3777286, 13.5443057 52.3777888, 13.5440578 52.3778808, 13.5439216 52.3779405, 13.5438049 52.3780001, 13.543698 52.3780638, 13.5435232 52.3781748, 13.543391 52.3782841, 13.5432918 52.3783722, 13.5432066 52.3784592)"
residential,,,30,,no,,,"LINESTRING (13.6937112 52.4343173, 13.693754 52.4342832, 13.6938119 52.4342649)"
residential,,,,,,,,"LINESTRING (13.6933887 52.4341859, 13.6932098 52.4341647, 13.6929981 52.4341712)"
residential,,,,,,,,"LINESTRING (13.5618276 52.6599934, 13.5620755 52.6597869)"
tertiary,1.0,yes,,,yes,,good,"LINESTRING (13.4616786 52.4217142, 13.4617386 52.4218097)"
tertiary,2.0,yes,,,yes,,good,"LINESTRING (13.4616107 52.4218361, 13.4615569 52.4217497)"
residential,,yes,30,,,,good,"LINESTRING (13.3350246 52.471388, 13.3351962 52.4713218)"
residential,,yes,30,,,,excellent,"LINESTRING (13.3410961 52.4763477, 13.341165 52.4763103, 13.3412363 52.4762715)"
residential,,yes,30,,,,excellent,"LINESTRING (13.3402625 52.4754922, 13.3401008 52.475563)"
residential,,yes,30,,,,,"LINESTRING (13.3326999 52.4798718, 13.3327831 52.4798903)"
residential,,yes,30,,yes,,excellent,"LINESTRING (13.5233376 52.4631522, 13.523289 52.463071)"
tertiary,2.0,no,60,,no,K 6169,good,"LINESTRING (13.4799918 52.3570768, 13.4801408 52.3568358, 13.480222 52.3567016, 13.4802406 52.3566441)"
tertiary,2.0,yes,50,,yes,,excellent,"LINESTRING (13.529035 52.3680884, 13.5298341 52.3682758)"
tertiary,2.0,yes,50,,yes,,excellent,"LINESTRING (13.5279022 52.3674801, 13.5281143 52.3676765, 13.5282505 52.3677993)"
residential,,,,,,,,"LINESTRING (13.4326313 52.655365, 13.4325661 52.6553084)"
residential,,,30,,,,,"LINESTRING (13.6861129 52.4764411, 13.6861936 52.476488, 13.6862619 52.476514, 13.6863323 52.4765373, 13.68647 52.4765694)"
residential,,,,,,,,"LINESTRING (13.3870764 52.6613057, 13.387108 52.661339, 13.3871599 52.6613581, 13.387213 52.6613632, 13.387265 52.6613544, 13.3873024 52.6613317, 13.387318 52.6613009, 13.3873157 52.661268, 13.3872952 52.6612431, 13.3872541 52.6612197, 13.3871708 52.6611948, 13.3869389 52.6611185)"
residential,,yes,30,,,,,"LINESTRING (13.6317193 52.5559928, 13.6316897 52.5560215, 13.6316462 52.5560427, 13.6315957 52.5560538, 13.6315766 52.556054, 13.6315421 52.5560544, 13.6314909 52.5560447, 13.6314474 52.5560256, 13.6314163 52.5559991, 13.6314006 52.5559679, 13.631402 52.5559353, 13.6314204 52.5559047, 13.6314539 52.5558792, 13.631501 52.555861, 13.6315553 52.5558533, 13.6316108 52.555857, 13.6316612 52.5558716, 13.6317008 52.5558954, 13.6317251 52.555926, 13.6317277 52.5559396, 13.6317316 52.5559597, 13.6317193 52.5559928)"
residential,,yes,30,,,,,"LINESTRING (13.6336019 52.5553445, 13.6335635 52.5553651, 13.6335164 52.5553772, 13.6334635 52.5553794, 13.6334123 52.5553709, 13.6333687 52.5553526, 13.6333374 52.5553265, 13.633322 52.5552956, 13.6333243 52.5552634, 13.6333439 52.5552334, 13.6333787 52.5552091, 13.6334248 52.5551931, 13.633477 52.5551873, 13.6335276 52.5551919, 13.6335731 52.555206, 13.6336089 52.5552282, 13.6336311 52.5552562, 13.6336375 52.5552871, 13.6336274 52.5553176, 13.6336019 52.5553445)"
residential,,yes,30,,,,,"LINESTRING (13.6326297 52.5568025, 13.6326599 52.5568274, 13.6326754 52.5568573, 13.632674 52.5568886, 13.6326559 52.5569179, 13.632623 52.556942, 13.632579 52.5569582, 13.6325287 52.5569649, 13.6324776 52.5569611, 13.6324313 52.5569475, 13.6323948 52.5569254, 13.6323723 52.5568976, 13.6323658 52.5568668, 13.6323761 52.5568365, 13.6324019 52.5568097, 13.6324405 52.5567895, 13.6324878 52.556778, 13.6325387 52.5567764, 13.6325878 52.5567848, 13.6326297 52.5568025)"
residential,,,,,,,,"LINESTRING (13.2262019 52.3766318, 13.2235057 52.3797685)"
residential,,,,,,,,"LINESTRING (13.4278551 52.3485557, 13.4278826 52.3484702, 13.427873 52.3483611, 13.4278512 52.3482412, 13.427833 52.3481465)"
residential,1.0,no,30,,,,very_bad,"LINESTRING (13.6365621 52.5484112, 13.6366458 52.5484358, 13.6368993 52.5485102)"
tertiary,2.0,yes,50,,,,,"LINESTRING (13.2972036 52.511814, 13.2972582 52.5115019)"
residential,,,30,,,,,"LINESTRING (13.3569695 52.6156175, 13.3564879 52.6154503, 13.3561094 52.6153074, 13.3556033 52.6151255)"
residential,,,50,,,,,"LINESTRING (13.4394581 52.4113903, 13.4395566 52.4113992)"
residential,,yes,30,,,,good,"LINESTRING (13.3079275 52.6184792, 13.3079631 52.6185103)"
residential,,yes,30,,,,good,"LINESTRING (13.5112665 52.5389534, 13.5112944 52.5389626, 13.5113272 52.5389726, 13.5114277 52.5389891)"
residential,,,30,,,,,"LINESTRING (13.2202586 52.3922241, 13.2202442 52.3920434)"
residential,,,30,,,,,"LINESTRING (13.2555151 52.6729168, 13.2554672 52.6728392, 13.2554378 52.6727806, 13.2554303 52.6727271, 13.2554489 52.6726886, 13.2554816 52.6726539)"
residential,,yes,30,,,,good,"LINESTRING (13.6092852 52.6751845, 13.6092574 52.6751132)"
residential,,,,,,,,"LINESTRING (13.5375834 52.6694891, 13.5376517 52.6692428)"
residential,,yes,30,,,,intermediate,"LINESTRING (13.480098 52.5348624, 13.4801442 52.5349162, 13.4801613 52.534936, 13.4801842 52.5349626, 13.4802122 52.5349953, 13.4802679 52.5350602, 13.4804629 52.5352906)"
tertiary,2.0,no,70,,no,K 6169,good,"LINESTRING (13.4655829 52.3511647, 13.4644077 52.3514523, 13.4640607 52.3515312, 13.4637848 52.3515782, 13.4635019 52.3516107, 13.463186 52.3516307, 13.4629126 52.3516329, 13.4626649 52.3516195, 13.462409 52.3515988, 13.4619995 52.3515573)"
tertiary,2.0,no,,,no,K 6169,good,"LINESTRING (13.4661287 52.3510812, 13.4658653 52.3511132, 13.4656257 52.3511542, 13.4655829 52.3511647)"
tertiary,2.0,no,50,,no,K 6169,good,"LINESTRING (13.4674942 52.3511523, 13.4674006 52.3511339, 13.467308 52.3511188, 13.4671497 52.3510969, 13.4669996 52.3510806, 13.4667022 52.3510527)"
tertiary,2.0,no,,,,K 6169,good,"LINESTRING (13.467251 52.3664923, 13.4675725 52.3661974, 13.4676986 52.3660963, 13.4677319 52.3660744)"
residential,1.0,no,,,,,bad,"LINESTRING (13.6934261 52.3619659, 13.6934123 52.3619221, 13.6933841 52.3619025, 13.6933057 52.3618601, 13.6930811 52.361761, 13.6926097 52.3615888, 13.6922961 52.3614691, 13.6918434 52.3612756)"
tertiary,2.0,no,100,,,,excellent,"LINESTRING (13.5495751 52.3757711, 13.5491667 52.3762789, 13.5490109 52.3764634)"
residential,,,30,,,,,"LINESTRING (13.6032623 52.5331908, 13.603364 52.5332105, 13.6037851 52.5333326)"
tertiary,2.0,no,70,,,,good,"LINESTRING (13.760859 52.5614676, 13.7609352 52.5614412, 13.7610748 52.5613842, 13.7611981 52.5613287, 13.7613093 52.5612698, 13.7614736 52.5611633, 13.7616178 52.5610335, 13.761701 52.5609284, 13.7618033 52.5607608, 13.7618159 52.5607331, 13.7618647 52.5606255)"
residential,,,30,,,,good,"LINESTRING (13.7183703 52.5582697, 13.7183284 52.5583162, 13.7183214 52.5583258, 13.7182982 52.5583579)"
residential,1.0,no,30,,no,,good,"LINESTRING (13.7178944 52.5589066, 13.7178622 52.5589273, 13.7178321 52.5589409, 13.7177971 52.5589404, 13.71753 52.5588645, 13.7173246 52.558807)"
residential,,yes,30,,,,intermediate,"LINESTRING (13.5472216 52.5436057, 13.5471738 52.5436803, 13.5471201 52.5437111)"
residential,,yes,30,,,,intermediate,"LINESTRING (13.5477248 52.54388, 13.5472428 52.5437852, 13.5471201 52.5437111)"
residential,,yes,30,,,,intermediate,"LINESTRING (13.4798429 52.5345756, 13.4799733 52.5347246, 13.4800621 52.5348205, 13.480098 52.5348624)"
residential,,no,30,,,,bad,"LINESTRING (13.5237493 52.55282, 13.5236923 52.5527951, 13.5236213 52.5527811, 13.5235514 52.5527811, 13.5234848 52.5527911, 13.5234246 52.5528065)"
residential,,,30,,,,,"LINESTRING (13.1830863 52.3777736, 13.1817893 52.3776108)"
residential,,,,,,,,"LINESTRING (13.1816896 52.3775982, 13.1803787 52.3774308)"
residential,,,,,,,,"LINESTRING (13.1803787 52.3774308, 13.1802909 52.3774196)"
residential,,yes,30,,,,,"LINESTRING (13.3403168 52.4873727, 13.3405722 52.4874056)"
residential,,,30,,,,,"LINESTRING (13.6048318 52.5319211, 13.6046175 52.531865)"
residential,,,30,,,,,"LINESTRING (13.6048988 52.531039, 13.6050378 52.5310732, 13.6051725 52.5311093, 13.605335 52.5311638, 13.6054303 52.5312274, 13.6054726 52.5312927)"
residential,,no,30,,,,very_bad,"LINESTRING (13.5527605 52.4800371, 13.5527657 52.4800746, 13.5528402 52.4801356)"
residential,,yes,50,,yes,,good,"LINESTRING (13.7631503 52.5071851, 13.7631126 52.5071736, 13.7630825 52.5071557, 13.7630629 52.5071329, 13.7630558 52.5071076, 13.7630618 52.5070824, 13.7630802 52.5070595, 13.7631092 52.5070411, 13.763146 52.507029, 13.7631872 52.5070243, 13.7632288 52.5070275, 13.7632667 52.5070384, 13.7632974 52.5070557, 13.7633179 52.507078, 13.7633262 52.5071029)"
residential,,yes,30,,,,,"LINESTRING (13.588962 52.4698014, 13.5888636 52.4698321, 13.5888211 52.4698454, 13.5887623 52.4698637)"
residential,,,30,,,,intermediate,"LINESTRING (13.5000121 52.574086, 13.5000338 52.5741266, 13.5000415 52.5741717, 13.5000251 52.5742341, 13.4999836 52.5742872, 13.4995565 52.5746616)"
residential,,,30,,,,intermediate,"LINESTRING (13.4995565 52.5746616, 13.4994187 52.5745987)"
tertiary,,yes,,,,,,"LINESTRING (13.2098127 52.3935122, 13.2097991 52.3934869, 13.2097937 52.3934605, 13.2097999 52.3934247, 13.2098211 52.393391, 13.209856 52.3933619)"
residential,,yes,,,,,good,"LINESTRING (13.510389 52.3932066, 13.5104469 52.3931434, 13.5104731 52.3931132, 13.5106018 52.3929649, 13.5106726 52.3928458, 13.5107243 52.3927456, 13.5107892 52.3926404, 13.5108667 52.3925506, 13.5109522 52.3924653, 13.5110765 52.3923634, 13.5111936 52.3922648, 13.5112375 52.3921902)"
tertiary,,yes,,,,,,"LINESTRING (13.2102437 52.3934665, 13.2102333 52.3934991, 13.2102105 52.3935293, 13.2101764 52.3935552)"
tertiary,,yes,,,,,,"LINESTRING (13.210203 52.3933776, 13.210236 52.3934199, 13.2102437 52.3934665)"
tertiary,,yes,,,,,,"LINESTRING (13.2100886 52.3933261, 13.2101527 52.3933462, 13.210203 52.3933776)"
tertiary,,yes,,,,,,"LINESTRING (13.209856 52.3933619, 13.2098877 52.3933451, 13.2099241 52.3933321)"
tertiary,,no,70,,,K 6902,good,"LINESTRING (13.1976563 52.3453466, 13.1976762 52.3453139, 13.1994971 52.342324)"
tertiary,,no,70,,,K 6902,good,"LINESTRING (13.1976122 52.3454252, 13.1976563 52.3453466)"
tertiary,,yes,,,,,,"LINESTRING (13.2099042 52.3935752, 13.2098504 52.3935481, 13.2098127 52.3935122)"
tertiary,,yes,,,,,,"LINESTRING (13.2101764 52.3935552, 13.2101163 52.3935809, 13.2100459 52.3935934, 13.2099726 52.3935914, 13.2099042 52.3935752)"
residential,,yes,30,,,,,"LINESTRING (13.3908578 52.6497804, 13.3915549 52.6501845)"
tertiary,2.0,yes,30,,yes,,good,"LINESTRING (13.3558035 52.4778203, 13.355886 52.4778783, 13.3559065 52.4778889)"
residential,,yes,,,,,,"LINESTRING (13.3872888 52.5527761, 13.3873071 52.5527558, 13.3873179 52.5527404, 13.3873248 52.5527305, 13.3873331 52.5527052, 13.3873373 52.5526799, 13.387331 52.5526502, 13.3873227 52.5526313, 13.3873113 52.5526124, 13.3872845 52.5525953)"
residential,,yes,,,,,,"LINESTRING (13.3875478 52.5526089, 13.3875284 52.5526215, 13.3875212 52.5526376, 13.3875108 52.5526724, 13.3875129 52.5527046, 13.3875254 52.5527248, 13.3875467 52.5527488, 13.3875545 52.552757, 13.38757 52.5527728, 13.3875942 52.552793)"
residential,,yes,,,,,,"LINESTRING (13.3861959 52.553334, 13.386227 52.5533501, 13.3862496 52.5533593, 13.3862741 52.5533661, 13.3862968 52.5533679, 13.3863204 52.5533679, 13.3863486 52.5533656, 13.3863798 52.5533598, 13.3864021 52.553352)"
residential,,yes,,,,,,"LINESTRING (13.3864221 52.5534812, 13.386391 52.5534675, 13.3863666 52.5534596, 13.3863458 52.5534539, 13.3863264 52.5534501, 13.3862984 52.5534497, 13.3862685 52.5534544, 13.3862543 52.5534585, 13.3862383 52.5534642, 13.386219 52.5534717, 13.3861968 52.5534833)"
tertiary,,,50,,,,,"LINESTRING (13.7622042 52.4613915, 13.762286 52.4613434, 13.7625261 52.4613951, 13.7626174 52.4614879)"
residential,2.0,,30,,,,,"LINESTRING (13.36222 52.5349519, 13.3625541 52.5345846, 13.3626347 52.5344996)"
residential,,,30,,,,bad,"LINESTRING (13.7626156 52.4656529, 13.7628092 52.4658448, 13.762881 52.4659244, 13.7629076 52.4660054)"
residential,,yes,30,,,,,"LINESTRING (13.2815214 52.6727037, 13.2815635 52.6726734, 13.2816205 52.672654, 13.2816851 52.672648)"
residential,,yes,30,,,,,"LINESTRING (13.2816851 52.672648, 13.2817471 52.6726557, 13.2818012 52.6726758, 13.2818407 52.6727059, 13.281861 52.6727424)"
residential,,yes,30,,,,,"LINESTRING (13.281861 52.6727424, 13.2818581 52.672785, 13.2818292 52.6728238, 13.2817783 52.6728531)"
residential,,yes,30,,,,,"LINESTRING (13.2817783 52.6728531, 13.2817428 52.6728638, 13.2817043 52.6728695, 13.2816648 52.6728701, 13.2815963 52.6728582, 13.2815405 52.6728313)"
residential,,yes,30,,yes,,,"LINESTRING (13.4123443 52.5192972, 13.4124137 52.5192485, 13.4124751 52.5192008, 13.412633 52.5190835, 13.4126967 52.5190383, 13.4127849 52.5190237)"
residential,,yes,30,,yes,,,"LINESTRING (13.4127849 52.5190237, 13.4127486 52.5190879, 13.4127098 52.5191228, 13.4126816 52.5191583, 13.4126855 52.5191987, 13.4127759 52.5192662, 13.4130656 52.5194321)"
residential,,,30,,,,,"LINESTRING (13.1209996 52.6016583, 13.121177 52.6016083, 13.1214323 52.601521)"
tertiary,2.0,no,50,,,,,"LINESTRING (13.1502178 52.5066292, 13.1499788 52.5066802, 13.1498837 52.5066985, 13.1495981 52.5067534, 13.1495404 52.5067639)"
residential,,,,,,,,"LINESTRING (13.3425593 52.4774698, 13.3424508 52.4775108)"
residential,,,,,,,excellent,"LINESTRING (13.7473635 52.6362853, 13.7474244 52.6361941, 13.7467636 52.6360451, 13.7466758 52.6360545, 13.7466057 52.6360759, 13.7465544 52.6361071)"
